,id,answer
0,01-0203,C. 50 000 000 đồng
1,01-0206,B. 1 giờ
2,01-0207,A. 2 lần
3,01-0209,C. 25%
4,01-0210,A. 3m
5,01-0211,"B. 5,621"
6,01-0214,B. 4%
7,01-0219,C. 8 giờ 17 phút
8,01-0221,"C. 0,75"
9,01-0222,"A. 67,910"
10,01-0223,B. 24
11,01-0224,D. 39870
12,01-0225,B. \frac{7}{10}
13,01-0227,D. 5 phần mười
14,01-0232,C. 1500%
15,01-0234,D. 2
16,01-0237,C. 350
17,01-0239,C. 5019
18,01-0240,"C. 0,18 giờ"
19,01-0241,"A. 36,992"
20,01-0243,B. 500 000
21,01-0245,"D. 37,5"
22,01-0246,"D. 10,5"
23,01-0249,"C. 3,005"
24,01-0254,C. 90 phút
25,01-0256,B. 30 dm^{2}
26,01-0257,"B. 18,84 dm"
27,01-0258,"D. 12,56 cm^{2}"
28,01-0259,C. 138 dm^{3}
29,01-0264,A. 64%
30,01-0266,"A. 3,76"
31,01-0268,"D. 201,07"
32,01-0269,"D. 0,8"
33,01-0273,B. 20 phút
34,01-0275,"B. 0,75"
35,01-0277,B. 20 phút
36,01-0285,C. 1234
37,01-0292,B. 8 phút 36 giây
38,01-0294,"B. 3,048"
39,01-0296,A. 270 học sinh
40,01-0302,D. \frac{1}{8}
41,01-0303,C. 8
42,01-0305,D. 81 cm
43,01-0314,"C. 663,64"
44,01-0315,B. 4dm
45,01-0316,"B. 55,0017"
46,01-0317,B. 60%
47,01-0321,A. \frac{9}{10}
48,01-0322,A. 25
49,01-0324,B. 125 m^{3}
50,01-0326,C. 6
51,01-0329,A. 850 m/phút
52,01-0330,A. 9998
53,01-0336,A. 10
54,01-0337,"B. 3,82"
55,01-0339,A. 200 tạ
56,01-0340,"C. 50,24 dm^{2}"
57,01-0343,B. 4dm
58,01-0346,"B. 55,072"
59,01-0347,B. 75%
60,01-0351,"A. 100,5"
61,01-0353,"B. 55,17"
62,01-0358,"B. 2,257"
63,01-0362,"C. 3,5%"
64,01-0364,B. >
65,01-0373,"C. 0,023"
66,01-0375,D. 346
67,01-0376,"D. 0,48 dm^{2}"
68,01-0378,"C. 0,07"
69,01-0380,"B. 41,7"
70,01-0384,"A. 17,13"
71,01-0386,A. 45300 m^{2}
72,01-0387,"B. 1527,4"
73,01-0389,A. Chục
74,01-0390,B. 5000
75,01-0391,"D. 251,165"
76,01-0394,"B. 26,6%"
77,01-0397,C. 166
78,01-0398,"C. 2,3"
79,01-0401,"B. 3,015 tấn"
80,01-0403,"A. 1821,2"
81,01-0405,"C. 9,08"
82,01-0407,A. 9 \frac{6}{10}
83,01-0409,B. 7 phần mười
84,01-0410,"A. 4,35"
85,01-0412,"C. 101,6"
86,01-0413,A. 9 phần nghìn
87,01-0420,D. \frac{5}{1000}
88,01-0422,"D. 0,080"
89,01-0423,A. 11002 kg
90,01-0425,C. 908
91,01-0429,"D. 8,06"
92,01-0431,"A. 40,392"
93,01-0432,"B. 7,5m^{2}"
94,01-0433,"B. 0,03 kg"
95,01-0434,"B. 0,0627 ha"
96,01-0435,A. 72m^{2}
97,01-0437,"A. 5,7; 6,02; 4,23; 4,32; 5,3"
98,01-0449,D. 25%
99,01-0454,A. \frac{27}{10}
100,01-0456,A. 2049
101,01-0461,"B. 0,5"
102,01-0463,A. 900cm^{2}
103,01-0464,A. 54
104,01-0471,"A. 3,400"
105,01-0472,A. 750000
106,01-0474,B. 2 \frac{35}{100}
107,01-0476,"B. 3,09"
108,01-0478,D. \frac{17}{5}
109,01-0480,A. 3754
110,01-0483,"A. 8; 8,76; 8,093; 8,901"
111,01-0484,C. 83 000
112,01-0486,"B. 3,09"
113,01-0488,D. 204m^{2}
114,01-0490,"A. 5,2"
115,01-0492,"B. 4543,75"
116,01-0493,"A. 35,06"
117,01-0498,"B. 7,99"
118,01-0499,A. \frac{23}{5}
119,01-0500,A. Hàng chục
120,01-0502,"C. 6,90"
121,01-0510,C. 64%
122,01-0513,"B. 0,1"
123,01-0518,C. 15 kg
124,01-0519,"A. 1,12 lần"
125,01-0525,C. 3
126,01-0529,C. 40 ngày
127,01-0536,A. 324 dm^{3}
128,01-0538,"C. 663,64"
129,01-0540,"A. 55,17"
130,01-0545,D. 3050
131,01-0551,"D. 1,25 giây"
132,01-0552,C. 16 cm^{2}
133,01-0554,"D. 12,56 cm^{2}"
134,01-0555,"C. 0,32"
135,01-0556,C. 2000
136,01-0561,"B. 18,806"
137,01-0569,"B. 4,021 m^{3}"
138,01-0572,A. 45%
139,01-0574,B. 40%
140,01-0575,C. 3000 m^{2}
141,01-0576,A. 36 km/giờ
142,01-0578,D. 170 016
143,01-0585,B. \frac{5}{100}
144,01-0589,"B. 62,45"
145,01-0590,"C. 1,7"
146,01-0591,"A. 1,2"
147,01-0595,A. \frac{8}{100}
148,01-0597,B. 8000m^{2}
149,01-0598,A. \frac{17}{5}
150,01-0604,C. 75%
151,01-0605,B. 100
152,01-0607,A. 12 hình tam giác
153,01-0609,"C. 6,90"
154,01-0611,"D. 20,003"
155,01-0614,"A. 0,375"
156,01-0616,C. 32%
157,01-0617,B. 315cm^{2}
158,01-0622,B. \frac{7}{100}
159,01-0625,"B. 34,06"
160,01-0626,"C. 9,952"
161,01-0630,"A. 9,25"
162,01-0631,A. 744m^{2}
163,01-0637,"A. 0,1"
164,01-0640,B. 875
165,01-0642,A. \frac{18}{20}
166,01-0643,A. 1 \frac{3}{1000}
167,01-0644,"B. 0,080"
168,01-0645,"B. 4,321"
169,01-0649,B. 95%
170,01-0650,A. 9000 đồng
171,01-0652,B. 231
172,01-0653,"D. 69,91"
173,01-0661,D. 157 giờ
174,01-0663,C. 600
175,01-0667,C. 2 km
176,01-0670,"A. 100,5"
177,01-0672,"B. 55,17"
178,01-0678,B. \frac{8}{100}
179,01-0683,"A. 12,5"
180,01-0687,C. \frac{9}{100}
181,01-0690,"A. 68,07"
182,01-0691,"B. 50,789"
183,01-0694,B. 60%
184,01-0698,D. 45
185,01-0703,"B. 37,5 %"
186,01-0715,"B. 4,562"
187,01-0716,"D. 3,06"
188,01-0717,A. 183 dm^{2}
